,soldDate,propertyType,address,city,zipOrPostalCode,price,beds,baths,location,squareFeet,lotSize,yearBuilt,ppsf,latitude,longitude,walkScore,bikeScore,transitScore,rentalValue,elementry,middle,high,listPrice
2989,February-27-2024,Single Family Residential,2990 Knights Bridge Rd,San Jose,95132.0,1820000.0,4.0,2.0,NORTH SAN JOSE,1480.0,6300.0,1972.0,1230.0,37.4054546,-121.8645483,35.0,49.0,37.0,4075.0,5.0,7.0,8.0,1600000.0
2990,March-11-2024,Single Family Residential,4837 Rue Lyon Ct,San Jose,95136.0,1550000.0,3.0,2.0,SAN JOSE,1313.0,8712.0,1973.0,1181.0,37.2638814,-121.8280817,53.0,69.0,46.0,3715.0,5.0,3.0,6.0,1375000.0
2991,October-2-2023,Single Family Residential,2442 Renfield Way,San Jose,95148.0,1275000.0,4.0,2.0,SAN JOSE,1476.0,7093.0,1979.0,864.0,37.3144776,-121.7974255,69.0,71.0,27.0,3915.0,5.0,5.0,8.0,1098000.0
2992,February-6-2024,Single Family Residential,5315 Calderwood Ln,San Jose,95118.0,1915000.0,4.0,3.0,SAN JOSE,1775.0,6098.0,1960.0,1079.0,37.247854,-121.8929274,76.0,54.0,30.0,4883.0,6.0,6.0,9.0,1798000.0
2993,March-1-2024,Single Family Residential,1809 La Porte Ave,San Jose,95211.0,890000.0,3.0,2.0,San Jose,1292.0,5150.0,1959.0,689.0,37.3347034,-121.8340429,53.0,53.0,48.0,3665.0,4.0,2.0,4.0,1075000.0
2994,November-13-2023,Single Family Residential,3780 Woodcreek Ln,San Jose,95117.0,2160000.0,5.0,3.0,SAN JOSE,2376.0,5968.0,1973.0,909.0,37.3038565,-121.9676403,9.0,62.0,38.0,6009.0,4.0,5.0,7.0,1838000.0
2995,February-8-2024,Single Family Residential,4208 Indigo Dr,San Jose,95136.0,1425000.0,5.0,3.0,San Jose,1603.0,6970.0,1969.0,889.0,37.270251,-121.857328,,,,,,,,
2996,September-25-2023,Single Family Residential,3928 Woodcreek Ln,San Jose,95117.0,2150000.0,4.0,2.5,W.SAN JOSE,1937.0,6200.0,1974.0,1110.0,37.3025961,-121.9687066,24.0,64.0,38.0,4976.0,4.0,5.0,7.0,1888888.0
2997,September-25-2023,Single Family Residential,3126 Drywood Ln,San Jose,95132.0,1550000.0,3.0,2.0,SAN JOSE,1485.0,5822.0,1964.0,1044.0,37.4155067,-121.8732279,79.0,63.0,40.0,4009.0,6.0,5.0,7.0,1348888.0
2998,October-20-2023,Single Family Residential,1586 Berksford Way,San Jose,95127.0,950000.0,3.0,2.0,SAN JOSE,1188.0,5251.0,1955.0,800.0,37.3485308,-121.8146012,57.0,51.0,39.0,3309.0,3.0,3.0,4.0,899999.0
2999,February-12-2024,Single Family Residential,3303 Woodmere Dr,San Jose,95136.0,1530000.0,3.0,2.5,SAN JOSE,1665.0,3920.0,1997.0,919.0,37.2781231,-121.856817,67.0,64.0,45.0,4248.0,4.0,4.0,4.0,1348000.0
